"No.","Time","Source","Destination","Protocol","Length","Info","Response time"
"39","3.852071000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=9/2304, ttl=116 (request in 38)","6.7308"
"44","4.858498200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=10/2560, ttl=116 (request in 43)","6.8545"
"50","5.875129000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=11/2816, ttl=116 (request in 49)","7.0179"
"59","6.891698700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=12/3072, ttl=116 (request in 58)","6.1757"
"65","7.907417900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=13/3328, ttl=116 (request in 64)","7.529"
"107","8.946864700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=14/3584, ttl=116 (request in 105)","28.5109"
"124","9.945996300","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=15/3840, ttl=116 (request in 123)","6.3062"
"133","10.964188800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=16/4096, ttl=116 (request in 132)","6.1205"
"138","11.987005500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=17/4352, ttl=116 (request in 137)","6.1012"
"149","13.005813000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=18/4608, ttl=116 (request in 148)","5.5615"
